[np.float64(-3.322279659363804e-68), np.float64(0.0819233324310763), np.float64(-0.07959591486997375), np.float64(0.4787334082318968), np.float64(3847.7596239129275), np.float64(-0.647366630972217), np.float64(1.5720056973495211), np.float64(9.8595663843116)]
[np.float64(8.015849166654494e-68), np.float64(0.5605145847513243), np.float64(-0.07720936803871446), np.float64(-1.7128668059186611), np.float64(1980.5547253042491), np.float64(-0.9172054373685039), np.float64(1.161948203881051), np.float64(9.9277364699241)]
[np.float64(2.365788342932173e-78), np.float64(0.4834674378790105), np.float64(-0.19661686359454497), np.float64(0.32520294207005707), np.float64(3416.5459869854776), np.float64(-0.9450945167844301), np.float64(1.3968552772682414), np.float64(9.8593164975486)]
[np.float64(7.993697275108671e-96), np.float64(0.07601510476325644), np.float64(-0.07244203114612231), np.float64(0.1811737335858976), np.float64(1673.9226983107021), np.float64(-0.5408553203250122), np.float64(1.7323794839941804), np.float64(9.9661178017431)]
[np.float64(-5.690288824577651e-118), np.float64(0.576655702229003), np.float64(-0.16208383278266597), np.float64(0.4558524754225357), np.float64(4028.952384702503), np.float64(-0.94632890127082), np.float64(1.3986423834530184), np.float64(9.9280085515564)]
[np.float64(-2.329897378733848e-97), np.float64(0.15146532804255686), np.float64(-0.10383613113196388), np.float64(0.6837384870853502), np.float64(2554.6832751977577), np.float64(-0.8749090644104073), np.float64(2.0484842906448035), np.float64(9.9268022373009)]
[np.float64(5.469294034655586e-59), np.float64(0.4909592247155518), np.float64(-0.08843031377028249), np.float64(-0.4210788523009721), np.float64(3528.4781492130905), np.float64(-0.42016788386372284), np.float64(2.2261133616708637), np.float64(9.9242862310565)]
[np.float64(-1.2043236571944451e-75), np.float64(0.48117013551504484), np.float64(-0.10824985555220536), np.float64(0.5728577804041781), np.float64(3526.3082081118246), np.float64(-1.0682313869783), np.float64(1.9452312141572954), np.float64(9.6526536769036)]
[np.float64(-2.81656234392154e-168), np.float64(0.7253510439472333), np.float64(-0.03737982294313748), np.float64(0.12583909621144018), np.float64(652.5834920290789), np.float64(-0.2639065306540293), np.float64(1.9192299263973671), np.float64(9.8729235263549)]
[np.float64(1.0734049758120986e-136), np.float64(0.6155886898637561), np.float64(-0.024595612716559724), np.float64(0.4933031587814338), np.float64(3297.7217368138495), np.float64(-0.1981998455655482), np.float64(1.753969756230923), np.float64(9.9615189412554)]
[np.float64(-0.00013581978752714974), np.float64(0.5831373937363569), np.float64(-0.07334231547486865), np.float64(-0.032277349217874285), np.float64(3127.434273947226), np.float64(-0.11927216849962041), np.float64(1.386701920580902), np.float64(9.1281977675911)]
